Left Side,Right Side,Score
ABH121-Humerus_L,ABH121-Humerus_R,25.2590390936657
ABH127-Humerus_L,ABH127-Humerus_R,25.8740156297749
ABH157-Humerus_L,ABH157-Humerus_R,25.9262059433358
ABH188-Humerus_L,ABH188-Humerus_R,25.2281105847384
ABH225-Humerus_L,ABH225-Humerus_R,25.6403501143675
ABH228-Humerus_L,ABH228-Humerus_R,25.0943619464494
ABH232-Humerus_L,ABH232-Humerus_R,25.6148729661191
ABH102-Humerus_L,ABH102-Humerus_R,26.5894727836299
ABH128-Humerus_L,ABH128-Humerus_R,26.1889186450513
ABH196-Humerus_L,ABH196-Humerus_R,26.8004840662542
WLH030-Humerus_L,WLH030-Humerus_R,26.9408454319164
WLH038-Humerus_L,WLH038-Humerus_R,26.541844988626
ABH108-Humerus_L,ABH108-Humerus_R,27.218330814274
ABH143-Humerus_L,ABH143-Humerus_R,27.1849262869488
ABH185-Humerus_L,ABH185-Humerus_R,27.5914891093594
WLH028-Humerus_L,WLH028-Humerus_R,27.8278856378233
ABH089-Humerus_L,ABH089-Humerus_R,28.399263855844
ABH093-Humerus_L,ABH093-Humerus_R,28.4786015041262
ABH109-Humerus_L,ABH109-Humerus_R,28.7070963258167
ABH207-Humerus_L,ABH207-Humerus_R,28.0849430126643
ABH236-Humerus_L,ABH236-Humerus_R,28.0124895627975
WLH012-Humerus_L,WLH012-Humerus_R,28.7070709432675
WLH017-Humerus_L,WLH017-Humerus_R,28.3491289335765
WLH034-Humerus_L,WLH034-Humerus_R,28.4790360771411
WLH051-Humerus_L,WLH051-Humerus_R,28.4829640201188
WLH060-Humerus_L,WLH060-Humerus_R,28.4985842150518
ABH173-Humerus_L,ABH173-Humerus_R,29.9204957122203
ABH184-Humerus_L,ABH184-Humerus_R,29.5914722201077
ABH224-Humerus_L,WLH044-Humerus_R,29.4004676462168
WLH006-Humerus_L,WLH006-Humerus_R,29.0954455490631
WLH024-Humerus_L,WLH024-Humerus_R,29.7222727932029
WLH050-Humerus_L,WLH050-Humerus_R,29.5310818411915
ABH180-Humerus_L,ABH180-Humerus_R,40.1264917661185
