sample,Classifier 1,,Classifier 2,,Classifier 3,
,Sex,Prob.,Sex,Prob.,Sex,Prob.
Mauropigi_281_Tibia_L,1,0.79,1,0.75,1,0.82
Mauropigi_281_Tibia_R,1,0.84,1,0.84,1,0.87
Mauropigi_285_Tibia_R,1,0.93,1,0.94,1,0.95
Mauropigi_293_Tibia_L,1,0.98,1,0.98,1,0.95
Mauropigi_293_Tibia_R,1,0.99,1,0.99,1,0.99
Mauropigi_300_Tibia_R,1,0.76,1,0.77,1,0.78
Mauropigi_318_Tibia_L,1,0.78,1,0.8,1,0.84
Mauropigi_318_Tibia_R,1,0.91,1,0.92,1,0.94
Mauropigi_339_Tibia_L,2,1,2,1,2,1
Mauropigi_403_Tibia_L,1,0.94,1,0.95,1,0.95
Mauropigi_403_Tibia_R,1,0.95,1,0.96,1,0.96
Mauropigi_40_Tibia_R,1,0.74,1,0.75,1,0.77
Mauropigi_73_Tibia_L,1,0.55,2,0.5,1,0.6
Mauropigi_80_Tibia_L,1,0.51,1,0.54,2,0.59
Mauropigi_80_Tibia_R,1,0.69,1,0.69,1,0.69
Mauropigi_98_Tibia_L,1,0.92,1,0.93,1,0.97
Mauropigi_98_Tibia_R,1,0.87,1,0.89,1,0.91
WS09_317_Tibia_L,1,0.84,1,0.82,1,0.93
WS09_317_Tibia_R,1,0.89,1,0.88,1,0.85
WS09_324_Tibia_L,1,0.87,1,0.83,1,0.94
WS09_324_Tibia_R,1,0.67,1,0.72,1,0.79
WS09_325_Tibia_L,2,0.67,2,0.65,2,0.55
WS09_325_Tibia_R,2,0.54,2,0.51,1,0.6
WS09_381_Tibia_L,1,0.72,1,0.75,2,0.51
WS09_381_Tibia_R,2,0.63,2,0.65,2,0.72
WS09_456_Tibia_L,1,0.99,1,0.99,1,0.99
WS09_456_Tibia_R,1,1,1,1,1,1
WS09_581_Tibia_L,1,1,1,1,1,1
WS09_581_Tibia_R,1,1,1,1,1,0.99
WS09_595_Tibia_L,1,0.97,1,0.98,1,0.97
WS09_595_Tibia_R,1,0.88,1,0.89,1,0.89
